Date,aapl,acn,adi,ame,amp,amzn,aph,avgo,brk-b,cost,dov,googl,hd,intu,itw,jpm,lly,ma,mco,meta,msft,nvda,orcl,payx,ph,spgi,trow,tsla,tsm,txn,unh,v,wmt,xom
2020-01-01,0.2812128324527293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14972315467894076,0.0,0.0,0.0,0.2199748788028955,0.0,0.0,0.0,0.0,-0.004162246827036142,-0.3918307752348482,0.0,0.0,0.0,0.0,0.0,-0.056482909692244405,0.0,0.0,0.2223163246177137,0.0,0.0,0.0
2020-01-02,0.18278542114421722,0.0,0.0,0.0,0.0,0.3653989383019507,0.0,0.0,0.0,0.0,0.0,0.2567805488407612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23657581619918344,0.0,0.0,0.0,0.0,0.0,0.0,0.3172943627927452,0.0,0.0,0.0,0.0,0.4363963227719069,0.0
2020-01-03,0.22476477818563578,0.0,0.0,0.0,0.0,0.20668934866785998,0.0,0.0,0.2343968606553972,0.0,0.0,-0.009817213192582108,0.0,0.2405793934129178,0.0,0.0,0.0,0.0,0.0,0.0,0.2620582040026784,0.2985647785710171,0.0,0.0,0.0,0.0,0.0,0.06831714885140007,0.0,0.0,0.0,0.0,0.24138573464006183,0.0
2020-01-06,-0.05953508336097002,0.0,0.0,0.0,0.0,0.07754829820478332,0.0,0.0,0.0,0.0,0.0,-0.42750343978405,0.0,0.0,0.0,0.1739956904202699,0.0,0.3752785081043839,0.0,-0.026142961485311395,0.2865251338109374,0.2883033711463213,0.0016731478273868,0.0,0.0,0.0,0.0,0.056199199438560735,0.0,0.0,0.0,0.0,-0.4109539957717061,0.2659969951957464
2020-01-07,0.242718899793302,0.3475604988168925,0.0,0.1739358529448509,0.0,0.27222646333348866,0.0,0.4292334063444286,0.1994463447481393,0.0,0.0,0.14532795988488945,0.2607127660885453,0.0,0.0,0.21024159360677,0.0,0.4331228787079453,0.0,0.0892737173475325,0.2018358962424099,0.2247128665447235,0.1936098642647266,0.0,0.0,0.0,0.0,0.21049773434060626,0.0,0.0,0.1574307911098003,0.0,0.059462037999182926,0.1987674415111542
2020-01-08,0.3014065261930227,0.0,0.0,0.0,0.0,0.2219341461663134,0.0,0.0,0.4520808739587664,0.0,0.0,0.3742017881479114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09821538026802813,0.24764014935741818,0.29120585837711893,0.0,0.0,0.0,0.0,0.0,0.30282706349777677,0.0,0.0,0.1345644652843475,0.0,-0.07108100596815345,-0.075502611634632
2020-01-09,0.31015513053163885,0.0,0.0,0.0,0.0,0.08313854319974778,0.0,0.0,0.0,0.4607010968029499,0.0,0.0,0.1973871039226651,0.0,0.1409289620816707,0.17596627231687306,0.0,0.1745619909837842,0.0,-0.0359007483930327,0.16631814902648331,0.07095603945975502,0.0,0.0,0.0,0.0,0.0,0.09400349035859107,0.0,0.3425352551043034,0.0,0.0,0.34602497424930334,0.0
2020-01-10,0.31117573432624335,0.0,0.0,0.0,0.0,0.2156325766816735,0.0,0.1553507216274738,0.0,0.0,0.0,0.1875733081251382,0.0,0.0,0.0,0.3198151386342942,0.2194166631437838,0.0,0.0,0.02310773368392673,0.2626802536658942,0.20503420596942304,0.0,0.0,0.0,0.0,0.0,-0.05153026922295493,0.4116866245865822,0.0,0.0,0.0,0.11142700556665656,0.20758066624403
2020-01-13,0.2692895320802927,0.0,0.0,0.0,0.0,-0.15439583144150673,0.0,0.0,0.0,0.0,0.0,0.1179885547608137,0.0,0.0,0.0,-0.36494619899118935,0.0,0.0,0.0,0.19864998990669847,0.04280475871637463,0.07044352050870654,0.0,0.0,0.0,0.0,0.0,0.18432634010910987,0.0,0.0,0.005158570532997435,0.0,-0.2634864872321486,0.0
2020-01-14,0.2137217134754691,0.0,0.0,0.0,0.0,-0.04368128711357715,0.0,0.0,0.0,0.0,0.0,0.23646908393129706,0.0,0.0,0.0,0.1941752499797278,0.0,0.2410668328404426,0.0,-0.03227935324733457,-0.04784987053135411,0.045324204520632815,-0.3963303327560424,0.0,0.0,0.0,0.0,-0.020393013174179943,0.0,0.0,0.0,0.29646767888750347,0.15119702365870277,0.0
