,date,dividends,week_day,month,day,quarter,diff_close_close,pct_change,pct_open_close,pct_close_open,seasonal_diff,second_diff_seasonal,trend,continuous_increased,continuous_decreased,high_open_ratio,high_close_ratio,low_open_ratio,low_close_ratio,aapl,acn,adi,ame,amp,amzn,aph,avgo,brk-b,cost,dov,googl,hd,intu,itw,jpm,lly,ma,mco,meta,msft,nvda,orcl,payx,ph,spgi,trow,tsla,tsm,txn,unh,v,wmt,xom
0,2020-01-02,0.0,Thursday,1,2,1,2.79058837890625,0.009351704981842124,0.00521951600010796,0.00411073294535369,49.33308410644531,3.078826904296875,1,2,0,0.00417260946980594,6.162320790133105e-05,-0.0031217461177904934,-0.007202869988182661,0.1827854211442172,0.0,0.0,0.0,0.0,0.3653989383019507,0.0,0.0,0.0,0.0,0.0,0.2567805488407612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2365758161991834,0.0,0.0,0.0,0.0,0.0,0.0,0.3172943627927452,0.0,0.0,0.0,0.0,0.4363963227719069,0.0
1,2020-01-03,0.0,Friday,1,3,1,-2.280609130859375,-0.007571873576429855,-0.011419567952965209,0.003892140944534022,46.584136962890625,-2.7489471435546875,-1,0,1,0.007722041842225616,0.003815052176908316,-0.00018681516349982932,-0.004063141787519201,0.2247647781856357,0.0,0.0,0.0,0.0,0.2066893486678599,0.0,0.0,0.2343968606553972,0.0,0.0,-0.0098172131925821,0.0,0.2405793934129178,0.0,0.0,0.0,0.0,0.0,0.0,0.2620582040026784,0.2985647785710171,0.0,0.0,0.0,0.0,0.0,0.0683171488514,0.0,0.0,0.0,0.0,0.2413857346400618,0.0
2,2020-01-06,0.0,Monday,1,6,1,1.140289306640625,0.003814771091784186,-0.005955470204152494,0.009828776280216722,46.45463562011719,-0.1295013427734375,1,1,0,0.010109584856561904,0.0002780754351045148,-0.0004056441285963438,-0.01013480765176088,-0.05953508336097,0.0,0.0,0.0,0.0,0.0775482982047833,0.0,0.0,0.0,0.0,0.0,-0.42750343978405,0.0,0.0,0.0,0.1739956904202699,0.0,0.3752785081043839,0.0,-0.0261429614853113,0.2865251338109374,0.2883033711463213,0.0016731478273868,0.0,0.0,0.0,0.0,0.0561991994385607,0.0,0.0,0.0,0.0,-0.4109539957717061,0.2659969951957464
3,2020-01-07,0.0,Tuesday,1,7,1,-0.84356689453125,-0.002811378873426529,-0.0019153891005504154,-0.0008977092353609782,43.44975280761719,-3.0048828125,-1,0,1,0.0016098679615396863,0.0025098302947354372,-0.0024147074664901177,-0.0015183612780710785,0.242718899793302,0.3475604988168925,0.0,0.1739358529448509,0.0,0.2722264633334886,0.0,0.4292334063444286,0.1994463447481393,0.0,0.0,0.1453279598848894,0.2607127660885453,0.0,0.0,0.21024159360677,0.0,0.4331228787079453,0.0,0.0892737173475325,0.2018358962424099,0.2247128665447235,0.1936098642647266,0.0,0.0,0.0,0.0,0.2104977343406062,0.0,0.0,0.1574307911098003,0.0,0.0594620379991829,0.1987674415111542
4,2020-01-08,0.0,Wednesday,1,8,1,1.59454345703125,0.005329161662184445,0.0006502996043558859,0.0046758213730395785,45.647674560546875,2.1979217529296875,1,1,0,0.008794191851181172,0.004099203335572687,-0.0008360345935182795,-0.005486203459166643,0.3014065261930227,0.0,0.0,0.0,0.0,0.2219341461663134,0.0,0.0,0.4520808739587664,0.0,0.0,0.3742017881479114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0982153802680281,0.2476401493574181,0.2912058583771189,0.0,0.0,0.0,0.0,0.0,0.3028270634977767,0.0,0.0,0.1345644652843475,0.0,-0.0710810059681534,-0.075502611634632
5,2020-01-09,0.0,Thursday,1,9,1,2.039825439453125,0.006781211010395527,0.005270992211176162,0.0015023001866366966,49.41656494140625,3.768890380859375,1,2,0,0.0017476309719731084,0.00024496277770973937,-0.001962272017572409,-0.0034593751842241995,0.3101551305316388,0.0,0.0,0.0,0.0,0.0831385431997477,0.0,0.0,0.0,0.4607010968029499,0.0,0.0,0.1973871039226651,0.0,0.1409289620816707,0.175966272316873,0.0,0.1745619909837842,0.0,-0.0359007483930327,0.1663181490264833,0.070956039459755,0.0,0.0,0.0,0.0,0.0,0.094003490358591,0.0,0.3425352551043034,0.0,0.0,0.3460249742493033,0.0
6,2020-01-10,0.0,Friday,1,10,1,-0.871673583984375,-0.002878279985106258,0.0019587511149825884,-0.004827575082014294,49.86866760253906,0.4521026611328125,-1,0,1,0.0005193648009971746,0.005372877854259398,-0.006385762728237272,-0.0015657464045503386,0.3111757343262433,0.0,0.0,0.0,0.0,0.2156325766816735,0.0,0.1553507216274738,0.0,0.0,0.0,0.1875733081251382,0.0,0.0,0.0,0.3198151386342942,0.2194166631437838,0.0,0.0,0.0231077336839267,0.2626802536658942,0.205034205969423,0.0,0.0,0.0,0.0,0.0,-0.0515302692229549,0.4116866245865822,0.0,0.0,0.0,0.1114270055666565,0.20758066624403
7,2020-01-13,0.0,Monday,1,13,1,2.0767822265625,0.006877362792307107,0.002087833384490718,0.004779550502713977,50.70271301269531,0.83404541015625,1,1,0,0.004810125114678165,3.042917418939424e-05,-0.001439998773275441,-0.006189964030296632,0.2692895320802927,0.0,0.0,0.0,0.0,-0.1543958314415067,0.0,0.0,0.0,0.0,0.0,0.1179885547608137,0.0,0.0,0.0,-0.3649461989911893,0.0,0.0,0.0,0.1986499899066984,0.0428047587163746,0.0704435205087065,0.0,0.0,0.0,0.0,0.0,0.1843263401091098,0.0,0.0,0.0051585705329974,0.0,-0.2634864872321486,0.0
8,2020-01-14,0.0,Tuesday,1,14,1,-0.46356201171875,-0.0015246221968129303,-0.0014636707928310055,-6.104074754131085e-05,50.66239929199219,-0.040313720703125,-1,0,1,0.0035117534192370802,0.0035730122661180893,-0.0019238552553334275,-0.0018629282223234231,0.2137217134754691,0.0,0.0,0.0,0.0,-0.0436812871135771,0.0,0.0,0.0,0.0,0.0,0.236469083931297,0.0,0.0,0.0,0.1941752499797278,0.0,0.2410668328404426,0.0,-0.0322793532473345,-0.0478498705313541,0.0453242045206328,-0.3963303327560424,0.0,0.0,0.0,0.0,-0.0203930131741799,0.0,0.0,0.0,0.2964676788875034,0.1511970236587027,0.0
9,2020-01-15,0.0,Wednesday,1,15,1,0.68609619140625,0.0022599667428433445,-0.00030529939998705973,0.0025660495562201987,49.97062683105469,-0.6917724609375,1,1,0,0.005101520937892096,0.0025289818888184056,-0.0002749238925084076,-0.0028337020288949004,0.111506839779516,0.0,0.0,0.0,0.0,0.17430269438166,0.0,0.0,0.0,0.194856952317059,0.0,-0.3785213463008404,0.0,0.0,0.0,0.3047726052502791,0.0,0.0,0.0,0.1488906798418611,0.0785297804861329,0.1951391113922,0.0,0.0,0.0,0.0,0.0,0.0888568248865859,0.0,0.0,0.4114843243422607,0.0711072486049185,0.21799520207569,0.2251202573999762
