,date,dividends,week_day,month,day,quarter,diff_close_close,pct_change,pct_open_close,pct_close_open,seasonal_diff,second_diff_seasonal,trend,continuous_increased,continuous_decreased,high_open_ratio,high_close_ratio,low_open_ratio,low_close_ratio,sentiment_score
0,2020-01-02,0.0,Thursday,1,2,1,2.79058837890625,0.009351703069058637,0.005219514095155337,0.0041107329453537,49.33306884765625,3.0787506103515625,1,2,0,0.00417260946980587,6.162320790125261e-05,-0.003121746117790529,-0.0072028699881827064,
1,2020-01-03,0.0,Friday,1,3,1,-2.280670166015625,-0.007572074685441743,-0.011419768282267232,0.003892140944534022,46.58409118652344,-2.7489776611328125,-1,0,1,0.007722041842225616,0.003815052176908316,-0.00018681516349982932,-0.004063141787519201,
2,2020-01-06,0.0,Monday,1,6,1,1.14031982421875,0.0038148731865543795,-0.005955369103081904,0.009828776280216615,46.45463562011719,-0.12945556640625,1,1,0,0.01010958485656187,0.0002780754351045882,-0.0004056441285965598,-0.010134807651760988,
3,2020-01-07,0.0,Tuesday,1,7,1,-0.843658447265625,-0.0028116837078058232,-0.0019156942088282088,-0.0008977092353609855,43.44978332519531,-3.004852294921875,-1,0,1,0.0016098679615396331,0.0025098302947353913,-0.0024147074664903163,-0.00151836127807127,
4,2020-01-08,0.0,Wednesday,1,8,1,1.59466552734375,0.00532957072344642,0.000650706761822188,0.00467582137303964,45.647796630859375,2.1980133056640625,1,1,0,0.00879419185118122,0.004099203335572674,-0.0008360345935181982,-0.0054862034591666225,
5,2020-01-09,0.0,Thursday,1,9,1,2.0396728515625,0.006780702370222436,0.005270484333987174,0.0015023001866367465,49.41645812988281,3.7686614990234375,1,2,0,0.00174763097197319,0.00024496277770977125,-0.0019622720175724966,-0.0034593751842243365,
6,2020-01-10,0.0,Friday,1,10,1,-0.871612548828125,-0.0028780793161213847,0.001958952757411531,-0.004827575082014364,49.86865234375,0.4521942138671875,-1,0,1,0.0005193648009970746,0.005372877854259367,-0.006385762728237285,-0.0015657464045502822,
7,2020-01-13,0.0,Monday,1,13,1,2.076904296875,0.006877767729003725,0.002088236394978268,0.004779550502713991,50.70280456542969,0.8341522216796875,1,1,0,0.0048101251146782514,3.0429174189466124e-05,-0.0014399987732754453,-0.00618996403029665,
8,2020-01-14,0.0,Tuesday,1,14,1,-0.463531494140625,-0.0015245213676389202,-0.0014635699575018706,-6.104074754130914e-05,50.66252136230469,-0.040283203125,-1,0,1,0.0035117534192371917,0.0035730122661181986,-0.0019238552553334455,-0.0018629282223234429,
9,2020-01-15,0.0,Wednesday,1,15,1,0.6859130859375,0.0022593626940579092,-0.0003059019027207944,0.002566049556220322,49.970703125,-0.6918182373046875,1,1,0,0.005101520937892337,0.0025289818888185227,-0.00027492389250835704,-0.0028337020288949724,
10,2020-01-16,0.0,Thursday,1,16,1,2.5311279296875,0.008318611443817625,0.004601248072297746,0.003700337202101909,51.412078857421875,1.441375732421875,1,2,0,0.003700337202101909,0.0,-0.0007582650614007042,-0.004442164755998128,
11,2020-01-17,0.0,Friday,1,17,1,0.95489501953125,0.003112394132346319,0.002356924666128405,0.0007536930684341924,51.430389404296875,0.018310546875,1,3,0,0.0014470318091228279,0.0006928165696423996,-0.0025625748333861632,-0.0033137703360876635,
12,2020-01-21,0.0,Tuesday,1,21,1,-0.6025390625,-0.001957828159328212,-0.003162810929867059,0.001208805995353068,49.981414794921875,-1.448974609375,-1,0,1,0.003868234520721415,0.0026562176735196335,-0.00024172430867627724,-0.0014487790112745749,
13,2020-01-22,0.0,Wednesday,1,22,1,0.03704833984375,0.00012061719440836782,0.0028371695610754223,-0.002708866852089378,50.1265869140625,0.145172119140625,1,1,0,0.002137075588508538,0.004859105109359478,-0.0032204937337189645,-0.0005130165752247854,
14,2020-01-23,0.0,Thursday,1,23,1,0.352294921875,0.001146817927951238,-0.0021428431151472387,0.0032967254084423944,50.829986572265625,0.703399658203125,1,2,0,0.004657800327189509,0.0013566025725769422,-0.0036899289316938313,-0.006963696943485943,
